"p_val"	"avg_diff"	"pct.1"	"pct.2"
"Ftl1"	0	1.08042308205283	0.95	0.71
"Ccl7"	1.06288684870517e-44	1.04490376603537	0.164	0.057
"Ubb"	7.16279551183213e-153	0.986925373023556	0.54	0.278
"Lyz2"	1.61297028350551e-198	0.874753024619499	0.802	0.546
"Cd81"	4.32478963157911e-79	0.79005361640224	0.343	0.164
"Eif1"	1.81220324414218e-116	0.704251860817915	0.567	0.327
"Prdx1"	2.0048873998389e-51	0.667125407471476	0.302	0.155
"Rpl18a"	2.71480507761838e-57	0.653406184555507	0.287	0.132
"Rps19"	2.31155493438251e-81	0.62992866303122	0.522	0.322
"Pf4"	5.22759081345846e-46	0.627749189921482	0.365	0.215
"Ifitm2"	6.27207537712703e-44	0.618994751844737	0.235	0.109
"Atox1"	2.66518200448191e-57	0.618811776345687	0.379	0.222
"Rps18"	1.1317731679453e-52	0.58473463195228	0.356	0.2
"Cd9"	3.94857789438578e-35	0.574914519184013	0.224	0.117
"Pfn1"	7.37037099076995e-59	0.573074441840996	0.443	0.27
"Ecm1"	1.05550101474324e-35	0.572637085950947	0.246	0.131
"Atp5j"	4.39507977467657e-34	0.57038705244589	0.138	0.054
"Lyz1"	9.67689084689426e-52	0.562597946094438	0.225	0.093
"Cd74"	1.51559568818898e-272	0.546536686714417	0.995	0.979
"Fcer1g"	5.58533506335114e-53	0.534019541831678	0.448	0.282
"Il1r2"	1.69472700633847e-35	0.531518604509756	0.408	0.286
"Rpl37rt"	6.41491535690554e-36	0.531389245057167	0.18	0.089
"Usmg5"	1.28850168177934e-29	0.530620494702981	0.216	0.115
"Ninj1"	6.2024050950714e-39	0.521164430423011	0.297	0.173
"H2-T23"	1.16680793589944e-28	0.516116596406849	0.155	0.074
"Uqcr11"	8.66062735557833e-28	0.514052658741305	0.157	0.081
"H2-D1"	1.92665034123703e-76	0.508107783915094	0.655	0.475
"Prdx5"	2.06261501653763e-26	0.494805006324939	0.201	0.116
"C1qb"	1.59367089866309e-91	0.493483471432008	0.769	0.595
"Psme2"	1.03842542709038e-22	0.475054368532682	0.147	0.08
"H3f3b"	4.31773246518201e-57	0.462786966950238	0.637	0.489
"Rps16"	5.71179208425564e-20	0.462626469784137	0.109	0.054
"Cd63"	2.21259044115891e-40	0.44020464031297	0.543	0.405
"Odc1"	4.31652901804856e-19	0.438171639265748	0.124	0.064
"Atp6v1f"	1.01174848893778e-21	0.435866190128798	0.189	0.116
"Cox8a"	9.86624032931001e-21	0.43427851244083	0.152	0.084
"Sh3bgrl3"	9.81852014263869e-31	0.43383772507559	0.298	0.193
"Rpl41"	1.29526336346335e-45	0.432240237813748	0.557	0.416
"Tyrobp"	4.67282383959231e-47	0.426662203607846	0.562	0.428
"Cox6a1"	2.47129906902693e-27	0.424285700230571	0.322	0.218
"Mir692-1"	6.04215406747821e-46	0.423567827280928	0.451	0.298
"Rpl35"	1.25872539938672e-26	0.42249362049495	0.303	0.193
"Tceb2"	4.84436020423851e-21	0.420271749781206	0.165	0.092
"Spcs2"	6.03199442045099e-19	0.419647167437428	0.213	0.143
"Tma7"	4.38952320717416e-17	0.417706165648028	0.13	0.075
"C5ar1"	6.69115764899879e-21	0.414003096609511	0.218	0.139
"Lgals1"	5.96098550700648e-20	0.408989298079329	0.186	0.109
"H2-DMa"	2.06816475875025e-24	0.401186117096416	0.349	0.251
"Selk"	2.18344248165933e-20	0.399562726315148	0.271	0.185
"Atp6v0e"	5.08975019497147e-16	0.394973654691457	0.173	0.107
"Psme2b"	1.0249381519251e-15	0.393993502672773	0.132	0.077
"Dnaja1"	2.44166216947122e-30	0.392240957995766	0.573	0.476
"Smdt1"	2.74102257406177e-15	0.391520354355295	0.131	0.076
"Dynll1"	1.25813103236241e-14	0.390913850374165	0.12	0.066
"Lgals3"	5.3135407763285e-38	0.390075247873148	0.594	0.462
"Cd14"	1.04392226139735e-34	0.388717173571051	0.653	0.551
"Ndufa13"	1.23567933216588e-18	0.385894179310935	0.18	0.108
"H2afj"	3.87346448209802e-20	0.384219910403897	0.142	0.078
"Cd36"	2.57592479870961e-12	0.383807452268539	0.15	0.093
"Ndufb8"	9.78044640037044e-17	0.383578457164672	0.126	0.066
"Atpif1"	1.57618536051198e-19	0.382229516906717	0.274	0.193
"C1qc"	3.13682081527739e-45	0.382175396989211	0.675	0.534
"Ndufa7"	3.69885137278779e-15	0.381411186141351	0.119	0.065
"Gbp2b"	7.85416600575024e-14	0.381147878404264	0.102	0.05
"1810037I17Rik"	1.17383238369394e-14	0.379761918857415	0.132	0.081
"Uqcr10"	7.86205908002083e-19	0.377673927908805	0.151	0.088
