"SUID","avg_diff","degree.layout","gene","module","name","selected","shared name"
"62","0.3394992989","28","Rpl36","1","ENSMUSP00000079340","false","ENSMUSP00000079340"
"63","0.335951006","29","Rps9","1","ENSMUSP00000006496","false","ENSMUSP00000006496"
"64","0.4626264698","36","Rps16","1","ENSMUSP00000103940","false","ENSMUSP00000103940"
"65","-0.4857972443","27","Rps24","1","ENSMUSP00000125977","false","ENSMUSP00000125977"
"66","-0.4544941903","34","Rpl3","1","ENSMUSP00000080354","false","ENSMUSP00000080354"
"67","-0.3247610744","31","Rps25","1","ENSMUSP00000079180","false","ENSMUSP00000079180"
"68","0.2746341851","29","Rps11","1","ENSMUSP00000003521","false","ENSMUSP00000003521"
"69","0.2779114059","32","Rpl18","1","ENSMUSP00000103365","false","ENSMUSP00000103365"
"70","0.2892392922","30","Rpl37a","1","ENSMUSP00000058919","false","ENSMUSP00000058919"
"71","0.3126207017","13","H2-Aa","0","ENSMUSP00000046105","false","ENSMUSP00000046105"
"72","0.2931184649","15","H2-Ab1","0","ENSMUSP00000041008","false","ENSMUSP00000041008"
"73","0.629928663","31","Rps19","1","ENSMUSP00000104067","false","ENSMUSP00000104067"
"74","0.3814111861","25","Ndufa7","4","ENSMUSP00000039692","false","ENSMUSP00000039692"
"75","0.5140526587","27","Uqcr11","4","ENSMUSP00000020372","false","ENSMUSP00000020372"
"76","0.584734632","28","Rps18","1","ENSMUSP00000008812","false","ENSMUSP00000008812"
"77","0.3203221215","37","Rps5","1","ENSMUSP00000004554","false","ENSMUSP00000004554"
"78","0.4934834714","25","C1qb","0","ENSMUSP00000040246","false","ENSMUSP00000040246"
"79","0.382175397","22","C1qc","0","ENSMUSP00000036747","false","ENSMUSP00000036747"
"80","0.3835784572","22","Ndufb8","4","ENSMUSP00000026222","false","ENSMUSP00000026222"
"81","0.6534061846","29","Rpl18a","1","ENSMUSP00000058368","false","ENSMUSP00000058368"
"82","-0.292452028","27","Nipbl","2","ENSMUSP00000059385","false","ENSMUSP00000059385"
"83","-0.3049197351","19","Smc3","2","ENSMUSP00000025930","false","ENSMUSP00000025930"
