#node1	node2	node1_string_internal_id	node2_string_internal_id	node1_external_id 2	node2_external_id 2	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
Rpl36	Rps9	5027972	5015940	ENSMUSP00000079340	ENSMUSP00000006496	0	0	0	0	0.741	0.950	0.900	0.544	0.999
Rps16	Rps9	5031918	5015940	ENSMUSP00000103940	ENSMUSP00000006496	0.139	0	0	0	0.922	0.971	0.720	0.461	0.999
Rps24	Rpl3	5034648	5028126	ENSMUSP00000125977	ENSMUSP00000080354	0	0	0	0	0.999	0.793	0	0.677	0.999
Rps25	Rps11	5027947	5015656	ENSMUSP00000079180	ENSMUSP00000003521	0	0	0	0	0.999	0.971	0.900	0.565	0.999
Rpl18	Rps9	5031793	5015940	ENSMUSP00000103365	ENSMUSP00000006496	0.172	0	0	0	0.936	0.867	0.900	0.629	0.999
Rpl18	Rps25	5031793	5027947	ENSMUSP00000103365	ENSMUSP00000079180	0	0	0	0	0.910	0.884	0.900	0.565	0.999
Rpl36	Rpl37a	5027972	5025033	ENSMUSP00000079340	ENSMUSP00000058919	0	0	0	0	0.903	0.945	0.900	0.327	0.999
H2-Aa	H2-Ab1	5022978	5022126	ENSMUSP00000046105	ENSMUSP00000041008	0	0	0	0.657	0.837	0.926	0.900	0.785	0.999
Rps24	Rps19	5034648	5031943	ENSMUSP00000125977	ENSMUSP00000104067	0	0	0	0	0.999	0.889	0.540	0.939	0.999
Ndufa7	Uqcr11	5021910	5016898	ENSMUSP00000039692	ENSMUSP00000020372	0	0	0	0	0.945	0.795	0.900	0.451	0.999
Rps18	Rps5	5016094	5015759	ENSMUSP00000008812	ENSMUSP00000004554	0.139	0	0	0	0.829	0.950	0.900	0.625	0.999
Rpl37a	Rps9	5025033	5015940	ENSMUSP00000058919	ENSMUSP00000006496	0	0	0	0	0.901	0.970	0.900	0.329	0.999
Rpl3	Rps9	5028126	5015940	ENSMUSP00000080354	ENSMUSP00000006496	0.139	0	0	0	0.922	0.851	0.900	0.611	0.999
C1qb	C1qc	5022002	5021383	ENSMUSP00000040246	ENSMUSP00000036747	0	0	0.434	0.916	0.979	0.720	0.900	0.858	0.999
Rps5	Rps11	5015759	5015656	ENSMUSP00000004554	ENSMUSP00000003521	0.172	0	0	0	0.999	0.972	0.900	0.681	0.999
Rpl18	Rps18	5031793	5016094	ENSMUSP00000103365	ENSMUSP00000008812	0.170	0	0	0	0.825	0.950	0.900	0.469	0.999
Rps24	Rps16	5034648	5031918	ENSMUSP00000125977	ENSMUSP00000103940	0	0	0	0	0.902	0.970	0.720	0.625	0.999
Rpl37a	Rps11	5025033	5015656	ENSMUSP00000058919	ENSMUSP00000003521	0	0	0	0	0.953	0.970	0.900	0.570	0.999
